topic,keywords
0,"lag, process, fast, generating, response, editing, processing, speed, creating, picture, reply, responding"
1,"like, don like, amazing, things, did, feels, previous, looks, feels like, make, star, used"
2,"time, waste, waste time, taking, takes, taking time, long, takes time, long time, wasting, pictures, time waste"
3,"wrong, information, answer, wrong information, answers, gives, wrong answer, gives wrong, giving, wrong answers, giving wrong, correct"
4,"image, generate, create, generate image, creating, images, create image, generation, image generation, takes, creating image, long"
5,"chat, love, trust, need, new, amazing, previous, edit, instead, answer, remove, did"
6,"hai, bahut, nahi, ye, nhi, aap, bekar, se, ka, bhi, kuch, ke"
7,"use, free, don use, google, paid, unable, life, gonna, hour, help, available, garbage"
8,"photo, edit, editing, upload, making, send, want, sending, creating, nhi, late, uploaded"
9,"login, account, sign, error, failed, verification, let, verification failed, play, unable, preauth, google"
10,"don, don like, don know, know, download, don use, install, don download, waste, don install, answer, don want"
11,"doesn, money, make, want, free, plus, message, better, edit, images, new, ask"
